Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
abb_table,0.3325,-4.21884749357559E-15,-0.561084665776162,0,0,0,580.906725,80.3766254597463,2.27209454738743E-13,-2.68459570346111E-15,114.089223783965,-5.11466019821722E-14,100.823347532969,0,0,0,0,0,0,package://assembly_environment/meshes/abb_table.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_environment/meshes/abb_table.STL,,Assem1^Assembly_Environment-1/ABB_Table-1,abb_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ar4_table,-0.429355196387322,7.66053886991358E-15,-0.466079323890767,0,0,0,173.611,40.8329345202577,7.78149638062711E-15,-0.417557737412949,53.2325884877173,7.19657072432917E-14,33.7279874841262,0,0,0,0,0,0,package://assembly_environment/meshes/ar4_table.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_environment/meshes/ar4_table.STL,,Assem2^Assembly_Environment-1/AR4_Table-1,ar4_frame,Axis_ar4_frame,ar4_frame,fixed,1.11,0,0.00649999999999995,0,0,3.14159265358979,abb_table,0,0,0,,,,,,,,,,,,
camera,-0.0149999999999804,0.11499999999998,-0.038,0,0,0,0.0695172943457205,0.000368805796800416,-1.39386992529696E-18,9.25408310293584E-21,1.34731108329075E-05,-2.78062407190918E-19,0.000368805796800416,0,0,0,0,0,0,package://assembly_environment/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_environment/meshes/camera.STL,,Assem3^Assembly_Environment-1/Aluminium Profile 3030 30x30 mm-2,camera_frame,Axis_camera_frame,camera_frame,fixed,0.67,0.00999999999999845,0.8035,3.14159265358979,0,1.57079632679489,abb_table,0,0,0,,,,,,,,,,,,
